year,geo_name,geo,num_ppl,num_ppl_moe,wage_bin_name,wage_bin
2015,"Texas","04000US48",1484171,25589.0,"< 10K","A"
2015,"Texas","04000US48",1872805,28921.6,"$10-20K","B"
2015,"Texas","04000US48",1877916,26672.0,"$20-30K","C"
2015,"Texas","04000US48",1527820,27190.9,"$30-40K","D"
2015,"Texas","04000US48",1232307,25778.0,"$40-50K","E"
2015,"Texas","04000US48",972350,21056.2,"$50-60K","F"
2015,"Texas","04000US48",705892,15784.5,"$60-70K","G"
2015,"Texas","04000US48",493581,14381.0,"$70-80K","H"
2015,"Texas","04000US48",367873,11320.3,"$80-90K","I"
2015,"Texas","04000US48",262168,9501.88,"$90-100K","J"
2015,"Texas","04000US48",278187,11217.1,"$100K-110","K"
2015,"Texas","04000US48",130253,7469.48,"$110-120","L"
2015,"Texas","04000US48",157684,7270.69,"$120-130","M"
2015,"Texas","04000US48",84379,4997.1,"$130-140","N"
2015,"Texas","04000US48",60157,4921.65,"$140-150","O"
2015,"Texas","04000US48",90544,6225.62,"$150-160","P"
2015,"Texas","04000US48",40806,4408.37,"$160-170","Q"
2015,"Texas","04000US48",35032,3770.75,"$170-180","R"
2015,"Texas","04000US48",37659,3768.24,"$180-190","S"
2015,"Texas","04000US48",16574,2865.42,"$190-200K","T"
2015,"Texas","04000US48",278157,9805.75,"$200K+","U"
